ticker,company_name,sector,industry,market_cap,forward_pe,peg_ratio_clean,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,log_market_cap,growth_score,quality_score,revenue_growth_strong,earnings_growth_strong,roe_strong,low_debt,high_growth,return_5y
GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,10791056384.0,6.6236258,,0.068,0.317,1.92901,1795.723,0.977,23.101983515502013,0.385,2.0,0,1,1,0,False,-0.0669084262912029
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,32918626304.0,10.498544,,0.047,0.211,0.09797,,0.598,24.21730448360395,0.258,0.0,0,0,0,0,False,0.6850824793792822
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,63848448000.0,22.352583,,0.001,-0.348,0.16016,79.333,1.319,24.879778112175742,-0.347,2.0,0,0,1,0,False,-0.6570114640106386
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,88898068480.0,13.477326,,0.078,0.305,0.12898,,1.053,25.210756252357346,0.383,0.0,0,1,0,0,True,2.018915121997053
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,15723681792.0,14.733397,,0.071,0.11,0.39688,13.14,1.211,23.478433807275053,0.181,2.0,0,0,1,0,False,0.8888435076569798
PTC,PTC Inc.,Technology,Software - Application,16150152192.0,16.406403,,0.214,1.044,0.23141001,35.942,1.058,23.505195310285846,1.258,4.0,1,1,1,0,False,-0.0701519829374047
EFX,Equifax Inc.,Industrials,Consulting Services,21417465856.0,17.14557,,0.092,0.024,0.13757,110.637,1.559,23.787472587637552,0.11599999999999999,0.0,0,0,0,0,False,-0.0092814839610728
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,125451182080.0,19.024303,,0.09,0.32,0.13087,37.912,1.204,25.555182532440636,0.41000000000000003,0.0,0,1,0,0,False,0.1854099793677381
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,267935252480.0,13.8415365,,0.152,0.173,0.13861,596.073,1.311,26.31401119304829,0.32499999999999996,0.0,0,0,0,0,True,2.0739071841882843
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15195474944.0,32.595116,,0.01,-0.658,0.07645,93.305,0.789,23.444263519490065,-0.648,0.0,0,0,0,0,False,0.0293398201039589
